,roles,companies,locations,experience,skills,Dates,PresentDate,salary
1765,Hr - Recruiter,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,hr metricsjoining formalitiesinterviewinghr generalist activitieshiringhrsdtraininghuman resource management,30+ Days Ago,2024-11-24,Not disclosed
1766,Fitter,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,repaircutting toolsindustrial salesweldingpower toolsproductionpreventive maintenancebusiness development,30+ Days Ago,2024-11-24,Not disclosed
1767,Project Co - ordinator,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,resource managementproject managementmitigationresourceproject documentationdocumentationtrackingresource allocation,30+ Days Ago,2024-11-24,Not disclosed
1768,Senior Fitter,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,repairpneumaticscutting toolsindustrial salesweldingpower toolspreventive maintenancebusiness development,30+ Days Ago,2024-11-24,Not disclosed
1769,Fellowship - Retina,Priyamvada Birla Aravind Eye Hospital,Kolkata,0-3 Yrs,TrainingPhotographySurgicalLiteratureDiagnosticsPatient careOphthalmologyResearch,30+ Days Ago,2024-11-24,Not disclosed
1770,TBM _ Medical Representative - Jhansi,Panacea Biotec,Jhansi,1-6 Yrs,medical representativePharmaceutical SalesPharma SellingMRtbmPharma MarketingSalesMarketing,2 Days Ago,2024-11-24,Not disclosed
1771,Senior Chemist,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,method validationuvpharmaceuticalquality controlproductiondocumentationgmphplc,30+ Days Ago,2024-11-24,Not disclosed
1772,Senior Executive,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,dispatchdata validationipqabmrwarehouse operationsdocumentationstore keepinglogistics,30+ Days Ago,2024-11-24,Not disclosed
1773,Medical Oncologist-DM/DNB,Buddha Cancer Centre,Patna,0-5 Yrs,molecular biologydrug safetyinternal medicinedmnursingpharmacovigilancepatient carechemotherapy,30+ Days Ago,2024-11-24,Not disclosed
1774,Chemist,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-1 Yrs,bpoteam managementcustomer relationshipback officecustomer managementcustomer servicecustomer carepresentation skills,30+ Days Ago,2024-11-24,Not disclosed
1775,Customer Support Representative,Jindal Biotech,Gurugram,0-3 Yrs,BiotechnologyCustomer Support RepresentativeExcelMicrobiologyManagement systemsCustomer satisfactionPharmacyManagement,30+ Days Ago,2024-11-24,Not disclosed
1776,Customer Support Executive,Jindal Biotech,Gurugram,0-3 Yrs,ExcelManagement systemsCustomer satisfactionDatabaseCustomer Support ExecutiveUPSCustomer supportManagement,30+ Days Ago,2024-11-24,Not disclosed
1777,ASSISTANT,M/s. Nagindas Hiralal Bhayani,Bharuch,0-1 Yrs,cleaningisowarehouse operationsdocumentationoffice assistanceinventoryhousekeepingcomputer,30+ Days Ago,2024-11-24,Not disclosed
1778,Customer Care Executive,Jindal Biotech,Gurugram,0-3 Yrs,BiotechnologyCustomer Care ExecutiveExcelMicrobiologyManagement systemsCustomer satisfactionPharmacyManagement,30+ Days Ago,2024-11-24,Not disclosed
1779,CUSTOMER SUPPORT EXECUTIVE,Ortho Max Manufacturing Company,Vadodara,0-3 Yrs,Medical devicesCustomer Support ExecutiveComputer proficiencyDevicesComputerMedicalCustomer support,30+ Days Ago,2024-11-24,Not disclosed
1780,PHARMACIST,Estfort Hi-tech Hospital,Thrissur,0-3 Yrs,PHARMACISTpharmaPharmaceuticalPharmacy,30+ Days Ago,2024-11-24,Not disclosed
1781,Territory Manager,Dr Reddys Path Labs,Ahmedabad,0-4 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
1782,Electrician,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,repaircorrective maintenancetransformerscircuitpreventive maintenanceequipmentlighting systemselectrical wiring,30+ Days Ago,2024-11-24,Not disclosed
1783,Executive- Formulation tech transfer/PDL/ MSAT,Torrent Pharmaceuticals,Gandhinagar,2-7 Yrs,Scale UpSolid OralsExhibit BatchesTechnology TransferFormulation DevelopmentTech TransferTechnical analysisFormulation,9 Days Ago,2024-11-24,4-8 Lacs PA
1784,Fellowship - Glaucoma,Priyamvada Birla Aravind Eye Hospital,Kolkata,0-1 Yrs,GlaucomaDNB,30+ Days Ago,2024-11-24,Not disclosed
1785,Field Inventory Program Analyst-Supply Chain-Gurgaon,Medtronic,Gurugram,5 Yrs,Supply chainProduct qualityProgrammer AnalystProject managementProcess improvementAnalyticalHealthcareTalent management,9 Days Ago,2024-11-24,Not disclosed
1786,MBBS DOCTOR / DUTY DOCTOR / RESIDENT DOCTOR,R. K. Devi Eye Research Institute,Kanpur,0-3 Yrs,NursingResident DoctorISODuty DoctorPatient carembbs doctorInspectionICU,30+ Days Ago,2024-11-24,Not disclosed
1787,Senior Officer,M/s. Nagindas Hiralal Bhayani,Bhavnagar,0-2 Yrs,vendor managementvisualforceproject managementsapsfdcpurchaseanalysistriggers,30+ Days Ago,2024-11-24,Not disclosed
1788,Doctor,Buddha Cancer Centre,Patna,0-5 Yrs,opdpharmaceuticalemergency medicineinternal medicinecritical caredmmedicinehospital administration,30+ Days Ago,2024-11-24,Not disclosed
1789,Nuclear Medicine Technologist,Tata Cancer Care Foundation,Tirupati,0-4 Yrs,hiraemergency responsedata analysisisox-rayradiologyaccident investigationmedicine,30+ Days Ago,2024-11-24,Not disclosed
1790,Consultant Anaesthetist,Tata Cancer Care Foundation,Ranchi,0-4 Yrs,anaesthesiologistanesthesiologyintensive careemergency medicinecritical careorthopedicspain managementnursing,30+ Days Ago,2024-11-24,Not disclosed
1791,Doctors Ophthalmology,Icare Eye Hospital &amp;amp;amp; P.G. Inst Glaucoma Research Centre,Noida,0-4 Yrs,opdpharmaceuticalhealth care servicesemergency medicinemedical equipmentinternal medicineorthopedicsmedicine,30+ Days Ago,2024-11-24,Not disclosed
1792,Solution Engineer PSSP Analytical Reporting,Pfizer,Chennai,3-6 Yrs,Solution Engineer PSSP Analytical ReportingAnalytical ReportsAnalyticsReportingAnalytical,10 Days Ago,2024-11-24,Not disclosed
1793,Innovation Engineer-1,Philips,Chennai,5-8 Yrs,MiningProcess automationAutomationInterpersonal skillsC++VB SCRIPTJavascriptManagement,10 Days Ago,2024-11-24,Not disclosed
1794,Content writer For CSR,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,MSWPublishingCSRCorporateJournalismContent writingFund raisingWriting,30+ Days Ago,2024-11-24,Not disclosed
1795,Pharmacist,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Pharmacy,30+ Days Ago,2024-11-24,Not disclosed
1796,Order Manager,Philips,Chennai,3-7 Yrs,Order managementData analysisSupply chain managementSAPProject managementHealthcareCustomer supportOrder processing,11 Days Ago,2024-11-24,Not disclosed
1797,Consultant Dental Surgeon,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Consultant Dental SurgeonDental SurgeryConsulting,30+ Days Ago,2024-11-24,Not disclosed
1798,Jr. Public Relation Officer,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-3 Yrs,Jr. Public Relation OfficerPublicPublic relationsJrssRelationship,30+ Days Ago,2024-11-24,Not disclosed
1799,Territory Business Manager | General Medicine |,Abbott,Chennai,2-7 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforceMedicine,15 Days Ago,2024-11-24,Not disclosed
1800,Optometrist,Gadre Eye Care Centre,Rajkot,0-4 Yrs,glaucomaparamedic activitiesdiagnosisretail salesbusiness developmentpatient careopticscataract surgery,30+ Days Ago,2024-11-24,Not disclosed
1801,MRD Executive,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,HealthcareMRD ExecutiveMRS,30+ Days Ago,2024-11-24,Not disclosed
1802,Area Sales Manager - Critical Care Division in Lupin,Lupin,Remote,5-10 Yrs,SalesCritical CareInjectablesArea sales managementManagementArea sales,14 Days Ago,2024-11-24,5.5-8 Lacs PA
1803,STAFF NURSE,Malabar Hospitals Urology Centre,Kozhikode,0-3 Yrs,Staff NurseGNMNursing,30+ Days Ago,2024-11-24,Not disclosed
1804,Staff Nurse,Malabar Hospitals Urology Centre,Kozhikode,0-3 Yrs,NursingStaff NurseGNM,30+ Days Ago,2024-11-24,Not disclosed
1805,MBBS Medical Officer,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Full time MBBS Medical OfficerMedicalTime,30+ Days Ago,2024-11-24,Not disclosed
1806,Medical Billing Coordinator,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Billing CoordinatorMedical billingTPACorporateMedicalBilling,30+ Days Ago,2024-11-24,Not disclosed
1807,Medical Officer,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Critical careMedical,30+ Days Ago,2024-11-24,Not disclosed
1808,Key Account Manager -Derma Prime-,Abbott,Ahmedabad,3-13 Yrs,Analytical skillsMedical devicesDermatologyPharmaRelationship buildingBusiness planningHealthcareCME,15 Days Ago,2024-11-24,Not disclosed
1809,Consultant Paediatrician,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-5 Yrs,PediatricsOncologyDNBConsulting,30+ Days Ago,2024-11-24,Not disclosed
1810,SR / Attending Consultant - Cardiac Intensivist,"Fortis Hospital, Manesar, Gurugram",Manesar,2-5 Yrs,Md Anaesthesiacardiac anesthesiaIntensivistSRConsultingCardiacAnesthesia,14 Days Ago,2024-11-24,Not disclosed
1811,Radiologist,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,DNBRadiology,30+ Days Ago,2024-11-24,Not disclosed
1812,Consultant Cardiologist,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-5 Yrs,Consultant CardiologistCardiologyConsulting,30+ Days Ago,2024-11-24,Not disclosed
1813,Radiologist,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,0-4 Yrs,Radio diagnosisCUSGDNBRadioRadiologyDiagnosis,30+ Days Ago,2024-11-24,Not disclosed
1814,Medical Data Entry,Buddha Cancer Centre,Patna,0-3 Yrs,process trainingsoft skillsbehavioural trainingtraining needstraining managementteachingtrainingtraining programs,30+ Days Ago,2024-11-24,Not disclosed
1815,ADMIN EXECUTIVE,Perfect Imaging And Diagnostic Centre,Surat,0-1 Yrs,Executive AdministratorPatient careHealthcareStaff managementadmin executiveAdministrationManagementExecutive support,30+ Days Ago,2024-11-24,Not disclosed
1816,support staff,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,0-3 Yrs,support staff,30+ Days Ago,2024-11-24,Not disclosed
1817,Regional Medical Advisor - Chronic & Gastro,Dr Reddys,Kolkata,0-2 Yrs,Medical affairsProject managementPharmaTrend analysisRegional Medical AdvisorStrategic planningHealthcareResearch,30+ Days Ago,2024-11-24,Not disclosed
1818,ACCOUNTANT,Perfect Imaging And Diagnostic Centre,Surat,0-1 Yrs,BillingAccounting,30+ Days Ago,2024-11-24,Not disclosed
1819,Social workers,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,0-3 Yrs,Social workersSocial work,30+ Days Ago,2024-11-24,Not disclosed
1820,Audiometrist,Zydus Sitapur Hospital,Sitapur,0-2 Yrs,diagnosticsaudio metricspatient recordsPatient careAudioMetrics,30+ Days Ago,2024-11-24,Not disclosed
1821,"Trainer, Cash Management","Ventra Health, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Manager Quality AssuranceMedical billingReconciliationRadiologyHealthcareAnesthesiaCash managementUS healthcare,3 Days Ago,2024-11-24,Not disclosed
1822,"Walkin -Drive - Field Sales ""Medical Representative""",Lupin,"Madurai, Chennai, Coimbatore",0-5 Yrs,Pharma SellingMRField SalesHospital SalesPharmaceutical SalesSellingMedicalSales,18 Days Ago,2024-11-24,3-4 Lacs PA
1823,"Walkin -Drive - Field Sales ""Medical Representative""",Lupin,"Ghaziabad, Meerut, Delhi / NCR",0-5 Yrs,Pharma SellingMRField SalesField WorkPharmaceutical SalesHealthcare SalesMedical RepMedical Sales,18 Days Ago,2024-11-24,3-4 Lacs PA
1824,Nurses,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,0-3 Yrs,NursesNursing,30+ Days Ago,2024-11-24,Not disclosed
1825,Occupational Therapists,VAZHIKATTI MENTAL HEALTH CENTRE RESEARCH INSTITUTE,Coimbatore,0-3 Yrs,Occupational TherapistsTherapyOccupational therapy,30+ Days Ago,2024-11-24,Not disclosed
1826,Territory Manager,Dr Reddys Path Labs,Gorakhpur,0-5 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
1827,Territory Manager,Dr Reddys Path Labs,Kochi,0-5 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
1828,Territory Manager,Dr Reddys Path Labs,Surat,0-5 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,30+ Days Ago,2024-11-24,Not disclosed
1829,Territory Manager,Dr Reddys Path Labs,Jalandhar,0-5 Yrs,Supply chainInterpersonal skillsData managementAnalyticalMarket intelligenceGeneticsCMEPharmaceutical sales,30+ Days Ago,2024-11-24,Not disclosed
1830,Territory Manager,Dr Reddys Path Labs,Thiruvananthapuram,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,15 Days Ago,2024-11-24,Not disclosed
1831,Staff Nurse,Ranchi Cancer Hospital And Research Centre,Ranchi,0-7 Yrs,UsageNursingStaff NurseGNMOncologyICU,30+ Days Ago,2024-11-24,Not disclosed
1832,GDMO-General-Duty-Medical-Officer,Ranchi Cancer Hospital And Research Centre,Ranchi,0-5 Yrs,General DutyUsageOncologyGeneral,30+ Days Ago,2024-11-24,Not disclosed
1833,Staff Engineer Multimodality Viewer,Rapidai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",11-18 Yrs,UnixPerformance tuningLinuxCodingAgileWorkflowHealthcareScrum,4 Days Ago,2024-11-24,Not disclosed
1834,Manager Production - Investigation,Sun Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-20 Yrs,Product qualitycqaManager Quality AssuranceAudit compliancePharmacyMISInternal quality auditorInvestigation,30+ Days Ago,2024-11-24,Not disclosed
1835,Technician,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,grninventory controldispatchproductionfire safetywarehouse operationsstore keepingpurchase,9 Days Ago,2024-11-24,Not disclosed
1836,"Supervisor, Coding","Ventra Health, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,Data analysisLeadership developmentFront endMedical codingRadiologyHealthcareAnesthesiaBusiness solutions,3 Days Ago,2024-11-24,Not disclosed
1837,Provider Education Support,"Ventra Health, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,CodingBillingRadiologyHealthcareAnesthesiamedical recordsInformation managementBusiness solutions,10 Days Ago,2024-11-24,Not disclosed
1838,Marketing Executive (Medical Representative),Tablets India Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,SalesMarketing ExecutiveMedical RepresentativeMedicalMarketing,15 Days Ago,2024-11-24,Not disclosed
1839,Senior Safety Executive,International Panaacea Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Industrial safetyEnvironmental scienceAccident investigationHSE managementISO 14001Safety trainingRisk assessmentHazard identification,29 Days Ago,2024-11-24,Not disclosed
1840,Associate Consultant,Aster Pharmacy,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,management consultingproject managementteam managementprogram managementbusiness analysisproblem solvingclient managementmarket research,15 Days Ago,2024-11-24,Not disclosed
1841,Associate Consultant,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,management consultingproject managementteam managementprogram managementbusiness analysisproblem solvingclient managementmarket research,15 Days Ago,2024-11-24,Not disclosed
1842,Senior Dialysis Technician,Aster Medcity,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,clinical operationshealth care servicesgnmcritical careclinical data managementnursingpatient caremedical affairs,9 Days Ago,2024-11-24,Not disclosed
1843,Project Manager - Corporate Technology,Prudential,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-12 Yrs,IT servicesApplication supportChange managementNetworkingProject managementIncident managementProject planningMonitoring,3 Days Ago,2024-11-24,Not disclosed
1844,"Business Analyst, Implementations","Ventra Health, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,ClaimsCodingBusiness analysisAnalyticalBillingRadiologyHealthcareUS healthcare,3 Days Ago,2024-11-24,Not disclosed
1845,Sr Data Engineer,Inventiv International Pharma Services,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-5 Yrs,Computer scienceCareer developmentAnalyticalSchemaData structuresData qualityAnalyticsRecruitment,3 Days Ago,2024-11-24,Not disclosed
1846,Deputy Manager - Production,Piramal Pharma Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,HousekeepingQAPharmaShop floorProduction schedulingGMPDeputy Manager ProductionRaw material,4 Days Ago,2024-11-24,Not disclosed
1847,Area Manager (Sales),Omnis Lifecare,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,TrainingTime managementPharmaPharmacySales forecastingBudgetingKey account managementCRM,30+ Days Ago,2024-11-24,Not disclosed
1848,Mechanical Commissioning Engineer - DATA CENTERS SR1,CAI,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Test scriptsProject managementqaqcConsultingSATIssue resolutionMechanical testingMedical insurance,4 Days Ago,2024-11-24,Not disclosed
1849,Senior Quality Assurance Engineer,Blink Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",14 Yrs,Supply chainManager Quality AssuranceTesting toolsJavascriptHealthcareSeleniumsoftware qualitySQL,4 Days Ago,2024-11-24,Not disclosed
1850,Sr DevOps Engineer,Intouch Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,UnixC++LinuxXMLWeblogicMySQLJavascriptHTML,4 Days Ago,2024-11-24,Not disclosed
1851,DevOps Engineer III,Intouch Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,AutomationRDBMSCodingXMLPostgresqlMySQLAgileHealthcare,4 Days Ago,2024-11-24,Not disclosed
1852,Senior Software Engineer,Blink Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-8 Yrs,Supply chainLinuxPharmaPharmacyMySQLJavascriptProgrammingHealthcare,4 Days Ago,2024-11-24,Not disclosed
1853,Enterprise Technology Lead - HR,Prudential,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-13 Yrs,IT servicessecurity complianceNetworkingTechnology LeadITSMAgileProject planningManagement,4 Days Ago,2024-11-24,Not disclosed
1854,Team Member - Plant IT,Sun Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,OPEXQCCompliancePharmaAnalyticalWindows applicationQMSStandard operating procedures,17 Days Ago,2024-11-24,Not disclosed
1855,Territory Business Executive,Novartis,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-3 Yrs,Data analysisSalesPerformance managementNetworkingPharmaHealthcareCross functional coordinationCustomer engagement,30+ Days Ago,2024-11-24,Not disclosed
